               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.094965,             0.14697,             0.05436,              0.7275,            0.090248,            0.046908,            0.013128,            0.075274,             0.11099,            0.037601,            0.070077,           0.0033248,           0.0033248
                   1,            0.068092,             0.12241,            0.035433,             0.59989,             0.26695,             0.21546,            0.078604,            0.058168,            0.091825,            0.026569,            0.040044,           0.0066251,           0.0066251
                   2,            0.061304,             0.11159,             0.02785,             0.55116,             0.39926,             0.36661,             0.18709,            0.051625,            0.087806,            0.020156,           0.0099782,           0.0098925,           0.0098925
                   3,            0.055467,             0.10441,            0.022677,             0.62164,             0.48302,             0.45364,             0.21461,            0.042562,            0.082049,            0.016756,           0.0098515,           0.0098515,           0.0098515
                   4,            0.049121,            0.099183,            0.019644,             0.76714,             0.54217,             0.62063,             0.34886,             0.04082,            0.077404,            0.014745,           0.0098515,           0.0098515,           0.0098515
                   5,            0.045146,             0.09526,              0.0177,             0.75317,             0.60719,             0.66992,             0.33204,            0.040716,            0.077042,            0.013335,            0.009802,            0.009802,            0.009802
                   6,            0.042746,            0.092694,            0.015981,             0.82923,             0.64925,             0.71475,             0.44059,            0.034511,             0.07145,            0.012108,           0.0097525,           0.0097525,           0.0097525
                   7,            0.040091,            0.089243,            0.015003,             0.84725,              0.6616,              0.7282,             0.46404,            0.031911,            0.070502,            0.011646,            0.009703,            0.009703,            0.009703
                   8,            0.038961,            0.086767,             0.01424,             0.86559,             0.66787,             0.73847,             0.46624,            0.029857,            0.069292,            0.011093,           0.0096535,           0.0096535,           0.0096535
                   9,             0.03731,            0.086543,            0.013618,             0.88077,              0.6839,             0.75892,             0.50788,            0.029521,             0.07077,            0.010877,            0.009604,            0.009604,            0.009604
                  10,            0.036501,            0.084425,            0.012823,              0.8764,             0.70802,             0.77029,             0.52381,            0.029896,            0.066379,             0.01001,           0.0095545,           0.0095545,           0.0095545
                  11,             0.03542,            0.081619,            0.012516,             0.87852,             0.70348,             0.76903,             0.49523,            0.027925,            0.066062,           0.0099839,            0.009505,            0.009505,            0.009505
                  12,             0.03408,            0.082328,            0.011897,             0.89594,             0.70802,             0.79148,             0.54439,            0.026762,            0.067388,           0.0093145,           0.0094555,           0.0094555,           0.0094555
                  13,            0.033916,            0.080899,            0.011275,             0.91721,             0.71364,             0.80029,             0.57493,            0.026423,            0.064947,           0.0092368,            0.009406,            0.009406,            0.009406
                  14,            0.032965,              0.0797,            0.011372,             0.91014,             0.71495,              0.8232,             0.57829,            0.025357,            0.064999,           0.0089573,           0.0093565,           0.0093565,           0.0093565
                  15,            0.032466,            0.079016,            0.010742,             0.89919,             0.72835,             0.84373,              0.5795,            0.026014,            0.062725,           0.0085197,            0.009307,            0.009307,            0.009307
                  16,            0.031867,            0.078284,            0.010431,             0.80856,             0.78459,             0.85738,             0.60987,            0.026057,              0.0648,           0.0089281,           0.0092575,           0.0092575,           0.0092575
                  17,            0.031173,            0.076445,            0.010023,             0.88348,             0.79194,             0.88383,             0.64445,            0.023215,             0.06239,           0.0080988,            0.009208,            0.009208,            0.009208
                  18,            0.030739,             0.07634,           0.0099564,             0.88331,             0.79242,              0.8997,             0.63428,            0.023878,            0.062787,           0.0079175,           0.0091585,           0.0091585,           0.0091585
                  19,            0.030094,            0.076181,           0.0098354,             0.90808,             0.78898,             0.88474,             0.64194,            0.022993,            0.061948,           0.0077781,            0.009109,            0.009109,            0.009109
                  20,            0.029531,            0.074743,           0.0094429,             0.90479,             0.79452,             0.88389,             0.64653,            0.022321,            0.058734,           0.0075029,           0.0090595,           0.0090595,           0.0090595
                  21,            0.029286,            0.075298,           0.0094395,             0.91185,             0.79556,             0.88726,             0.65993,            0.021733,             0.05812,           0.0074686,             0.00901,             0.00901,             0.00901
                  22,            0.028763,             0.07503,           0.0091886,             0.92961,             0.80038,             0.89028,             0.67072,            0.021723,            0.059329,            0.007304,           0.0089605,           0.0089605,           0.0089605
                  23,            0.028727,            0.073277,           0.0089796,             0.92183,             0.80748,             0.91595,             0.68719,            0.021573,            0.057804,            0.007154,            0.008911,            0.008911,            0.008911
                  24,             0.02848,            0.073934,           0.0086919,             0.91857,             0.80074,             0.91232,             0.68342,            0.022246,            0.059773,           0.0070946,           0.0088615,           0.0088615,           0.0088615
                  25,             0.02783,            0.072623,           0.0086611,             0.90545,             0.80671,             0.90242,             0.68474,            0.020575,            0.059041,           0.0070736,            0.008812,            0.008812,            0.008812
                  26,            0.027869,            0.072967,           0.0083413,             0.91066,             0.79267,             0.90701,             0.68395,            0.020844,            0.057338,           0.0071144,           0.0087625,           0.0087625,           0.0087625
                  27,            0.027497,             0.07099,           0.0083051,             0.91898,             0.81182,             0.92688,             0.70614,            0.020908,            0.057936,           0.0066555,            0.008713,            0.008713,            0.008713
                  28,            0.027188,            0.071971,           0.0084033,             0.92536,             0.80926,             0.92505,             0.69334,            0.020288,            0.057823,           0.0068408,           0.0086635,           0.0086635,           0.0086635
                  29,            0.026709,            0.070707,           0.0079745,             0.92786,             0.80521,             0.91662,             0.70485,            0.020257,             0.05653,           0.0066184,            0.008614,            0.008614,            0.008614
                  30,            0.026538,            0.070026,           0.0079612,             0.92021,             0.81714,             0.92785,             0.72137,            0.020054,            0.055601,           0.0065653,           0.0085645,           0.0085645,           0.0085645
                  31,            0.026533,            0.069878,           0.0078204,             0.93365,             0.81767,             0.92645,             0.70605,            0.019647,            0.056115,           0.0065003,            0.008515,            0.008515,            0.008515
                  32,            0.026001,            0.070291,            0.007612,             0.93303,             0.81092,             0.92854,             0.73279,            0.018793,            0.054172,           0.0064677,           0.0084655,           0.0084655,           0.0084655
                  33,            0.025988,            0.069332,           0.0075474,             0.92002,              0.8247,             0.92589,              0.7061,            0.020013,            0.055123,           0.0064696,            0.008416,            0.008416,            0.008416
                  34,            0.025537,            0.067857,           0.0075848,             0.92168,             0.81323,             0.93365,             0.73281,            0.019506,            0.055791,           0.0064076,           0.0083665,           0.0083665,           0.0083665
                  35,            0.025364,            0.067778,            0.007505,             0.92418,             0.81009,             0.93415,             0.73825,            0.018619,            0.055362,           0.0062327,            0.008317,            0.008317,            0.008317
                  36,            0.025186,            0.067929,           0.0072546,              0.9333,             0.81292,             0.93799,             0.74441,            0.018325,            0.054203,           0.0061631,           0.0082675,           0.0082675,           0.0082675
                  37,             0.02479,            0.067825,           0.0073731,             0.93883,             0.80383,             0.93792,             0.73931,            0.018212,            0.055063,           0.0061466,            0.008218,            0.008218,            0.008218
                  38,            0.024753,            0.067699,           0.0072294,             0.92524,             0.82841,             0.93581,             0.73937,            0.018125,            0.053514,           0.0061682,           0.0081685,           0.0081685,           0.0081685
                  39,            0.024849,            0.066422,           0.0071885,             0.82591,             0.90009,             0.94156,             0.73011,            0.017792,            0.053585,           0.0059734,            0.008119,            0.008119,            0.008119
                  40,            0.024323,            0.066823,           0.0070581,             0.81849,             0.89462,             0.93818,             0.74996,            0.018054,            0.054086,           0.0060325,           0.0080695,           0.0080695,           0.0080695
                  41,            0.024173,            0.065674,           0.0069971,              0.8789,             0.88191,             0.93978,             0.75164,            0.017684,            0.053766,           0.0059178,             0.00802,             0.00802,             0.00802
                  42,            0.024132,            0.065936,           0.0069936,             0.87838,             0.90271,             0.93886,             0.75538,            0.017725,            0.053675,           0.0058722,           0.0079705,           0.0079705,           0.0079705
                  43,            0.023833,             0.06577,            0.006889,             0.87199,             0.90572,             0.93518,             0.75245,            0.017122,            0.054351,           0.0057157,            0.007921,            0.007921,            0.007921
                  44,            0.023706,            0.065836,           0.0068213,             0.89529,             0.91368,             0.94065,             0.75319,            0.017294,            0.053443,           0.0056859,           0.0078715,           0.0078715,           0.0078715
